,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,For which step of the AST can the funding be used?,,,,,,Who is eligible to receive funding?,,,,Which sectors can receive funding?,,,,,,,,,,,,,,Which type of funding is granted?,,,,,What is the expected budget range of proposals?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE LEADER,Go To EE LEADER,LEADER,https://www.agri.ee/maaelu-pollumajandus-toiduturg/maaelu-maaettevotlus-maakasutus/leader,Estonia,0,Regions that have Local Action Groups (LAGs) ,LAGs in Estonia can be found here: https://www.maainfo.ee/index.php?page=3738&,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,15-90%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The aim of the grant is to support local initiative on the basis of the Estonian Rural Development Programme (RDP) 2014-2020 by promoting life in rural areas through local cooperation, in which different actors focus their joint efforts on identifying the needs of the area, implementing them and exploiting the opportunities of the area.",0,"Ministry of Regional Affairs and Agriculture, Agricultural Registers and Information Board (PRIA), Local LEADER Action Groups (LAGs) ",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.pria.ee/toetused,0,0,0,0,0,0,0
EE INTERREG Central Baltic,Go To EE INTERREG Central Baltic,INTERREG The Central Baltic Programme,https://centralbaltic.eu/news/second-and-third-call/#the-third-call-will-be-dedicated-to-small-projects,"Estonia, Finland, Latvia, Sweden",0,All regions in Estonia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,max 80%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The scope of the Central Baltic Programme 2021-2027 is to finance high quality projects with European Regional Development Funds in Finland (including Åland), Estonia, Latvia and Sweden, that aim at solving common challenges together and across borders",0,"INTERREG, programmes in Estonia are coordinated and managed by the Ministry of Finance and administrated by State Shared Service Centre ",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.fin.ee/riigihaldus-ja-avalik-teenistus/regionaalareng-ja-poliitika/interreg,0,0,0,0,0,0,0
EE INTERREG Estonia - Latvia,Go To EE INTERREG Estonia - Latvia,INTERREG Estonian Latvian Programme,https://estlat.eu/en; https://www.rtk.ee/toetusfondid-ja-programmid/interreg-programmid/eesti-lati-programm,"Estonia, Latvia",0,All regions in Estonia,0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,max 80%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,Our mission is to support sustainable and innovative ideas that help border regions in Estonia and Latvia to grow through neighbourly cooperation,0,"INTERREG, programmes in Estonia are coordinated and managed by the Ministry of Finance and administrated by State Shared Service Centre ",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.fin.ee/riigihaldus-ja-avalik-teenistus/regionaalareng-ja-poliitika/interreg,0,0,0,0,0,0,0
HU Env. and En. Eff. 1.1.0,Go To HU Env. and En. Eff. 1.1.0,"KEHOP-1.1.0 - VÍZGAZDÁLKODÁSSAL ÉS AZ ÉGHAJLATVÁLTOZÁS HATÁSAIVAL KAPCSOLATOS TERVEZÉS, INFORMATIKAI ÉS MONITORING FEJLESZTÉS",https://www.palyazat.gov.hu/doc/4529,Hungary,0,Country wide,0,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,Can be covered wholly by grant,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"This Call is part of the Operational Programme for Environment and Energy Efficiency ""Adapting to the impacts of climate change
Adaptation to Climate Change' priority axis 'Water management and climate change impacts
planning, information and monitoring for water management and climate change"".
Strategic planning for water management and climate change impacts in the field of water protection policy is one of the main objectives of the
Directive 2000/60/EC establishing a framework for Community action in the field of climate change and
Directive 2007/60/EC on the assessment and management of flood risks (hereinafter referred to as ""the FRMD"")
recurring obligation every 6 years. River Basin Management Plan and Flood Risk Management Plan
in addition to the Directives, will serve to validate national specificities, laying the groundwork for the revision of the
and contribute to the achievement of the UN Sustainable Development Goals 2030. A
climate change related database development, impact assessments, vulnerability analyses, risk assessment and risk management
maps, models, methodologies, complex risk management systems and a unified IT
The action will make a complex contribution to the implementation of the Danube Region Strategy (DRS) Priority 5
Action 1 (River Basin Flood Management Plan or Coordinated Flood Risk Management Plan
development of a flood risk management plan). It also supports Action 3 of Priority Area 4 of the DRS (ICPDR
data collection systems developed by ICDR)) to successfully
implementation of the successful
The development of climatological modelling, spatial vulnerability assessment to climate change, flood
forecasting systems, modelling for water resources accounting, water status assessment and water quality management.
monitoring system, and the development of a monitoring system to monitor water status, as well as the development of the
Preparation of the River Basin Management Plan of the European Union, revision of flood hazard and risk maps and risk management plans
will provide sufficient knowledge for adaptation to climate change and the management of natural hazards and risks.
resources, in particular water resources, for the medium and long-term development of the
and measures needed to protect water resources, to assess the long-term and medium-term
the impact of the measures taken to implement the National Water Strategy (Jenő Kvassay Plan).
The development of a monitoring and information system in line with the requirements of the WFD will significantly reduce the
the number of ""grey"" and data-poor surface water bodies. More accurate monitoring of surface and groundwater bodies
status assessment, improve the reliability of assessments, and, through the implementation of assessment monitoring, improve the
understanding and verification of pressures and their impact on the aquatic environment, thus improving river basin management.
measures of the river basin management plans will be better informed and cost-effective. The monitoring methods and
results, the knowledge base will also be increased.",0,Hungarian Government,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
HU Env. and En. Eff.6.2.1,Go To HU Env. and En. Eff.6.2.1,KEHOP-6.2.1-23 - ZÖLD GAZDASÁGI HELYREÁLLÁS ÖSZTÖNZÉSE KÖZÉPÜLETEK ÉPÜLETENERGETIKAI FEJLESZTÉSEI RÉVÉN,https://www.palyazat.gov.hu/kehop-621-zld-gazdasgi-helyrells-sztnzse-kzpletek-pletenergetikai-fejlesztsei-rvn#,Hungary,0,Country wide,0,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,Can be covered wholly by grant,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The objectives of this Call are the same as those set out in the calls for proposals KEHOP-5.2.2.
The Call is technical in nature and aims to finance previously submitted grant applications
within the framework of the present Call, in line with the provisions of the Operational Programme for the Environment and Energy Efficiency
Programme ""Preparing for green and resilient economic recovery after the COVID 19 pandemic"".
Priority 6 (REACT-EU)"" and the technical modification of the projects to be reallocated under the
and amending certain related Government Decisions 1430/2022 (IX. 6.) and the
1084/2016 (29.II.).",0,Hungarian Government,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
HU Env. and En. Eff.6.3.1,Go To HU Env. and En. Eff.6.3.1,"Zöld gazdasági helyreállás ösztönzése 4 MW beépített teljesítményt
meghaladó zöldáram-termelő rendszerek telepítésével",https://www.palyazat.gov.hu/kehop-631-zld-gazdasgi-helyrells-sztnzse-4-mw-beptett-teljestmnyt-meghalad-zldram-termel-rendszerek-teleptsvel#,Hungary,0,Country wide,0,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,Can be covered wholly by grant,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The objectives of this Call are the same as those set out in the calls for proposals KEHOP-5.1.1.
The Call is technical in nature and aims to finance applications for aid previously submitted
within the framework of the present Call, in line with the provisions of the Operational Programme for Environment and Energy Efficiency
Programme ""Preparing for green and resilient economic recovery after the COVID 19 pandemic"".
Priority 6 (REACT-EU)"" and the technical modification of the projects to be reallocated under the
and amending certain related Government Decisions 1430/2022.
(IX. 6.) and Government Decision 1084/2016 (II. 29.).",0,Hungarian Government,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
HU Env. and En. Eff.6.4.1,Go To HU Env. and En. Eff.6.4.1,KEHOP-6.4.1 - KLÍMAVÁLTOZÁS HATÁSAIT MÉRSÉKLŐ ÁRVÍZVÉDELMI ÉS VÍZGAZDÁLKODÁSI FEJLESZTÉSEK,https://www.palyazat.gov.hu/kehop-641-klmavltozs-hatsait-mrskl-rvzvdelmi-s-vzgazdlkodsi-fejlesztsek#,Hungary,0,Country wide,0,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,Can be covered wholly by grant,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"The objective of the present Call is the same as in the calls KEHOP-1.3.0 and KEHOP-1.4.0
calls for proposals. The Call is technical in nature and aims to complement the previously submitted grants
applications that have already been submitted should be transferred to the present Call for Proposals, in accordance with the
Energy Efficiency Operational Programme 'Green and Resilient Economy for the post-cyclone COVID-19'.
priority 6 (REACT-EU)' of the 'Preparing for the post-CVID-1919 recovery and economic and rural
and amending certain related Government Decisions 1430/2022.
(IX. 6.) and Government Decision 1084/2016 (II. 29.).",0,Hungarian Government,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
HU Env. and En. Eff.5.2.15,Go To HU Env. and En. Eff.5.2.15,KEHOP-5.2.15 KÖZÉPÜLETEK ENERGETIKAI FEJLESZTÉSEINEK ELŐKÉSZÍTÉSE,https://www.palyazat.gov.hu/-kehop-5215#,Hungary,0,Country wide,0,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,Can be covered wholly by grant,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"n Hungary, about 40% of energy use is in buildings. If they are well insulated and
and use renewable energy sources, we can also ensure the energy security of our children and grandchildren for generations to come.
for our future generations. This call for proposals under the Operational Programme for Environment and Energy Efficiency will help us to do this.
This is the first call for proposals for a new Energy Efficiency Directive, amending Directives 2009/125/EC and 2010/30/EU and Directive 2004/8/EC
Directive 2012/27/EU of the European Parliament and of the Council repealing Directives 2004/10/EC and 2006/32/EC
Directive 2012/27/EU of the European Parliament and of the Council (hereafter Directive 2012/27/EU) requires EU Member States to
achieve new energy savings of at least 0.8 percent of their final energy consumption
per year averaged over the three years preceding 1 January 2019.
The strategic documents adopted by the Government in January 2020 (National Energy Strategy 2030,
outlook to 2040 <new NES> and the National Energy and Climate Plan <NEKT>).
energy efficiency target for 2030 is that the country's final energy consumption should not exceed
(785 PJ). If final energy consumption increases above 2005 levels, the
increase can only come from carbon neutral energy sources.
In line with national and EU strategy, the main objective of this Call is to encourage
energy efficiency improvements and to promote the use of decentralised, environmentally friendly renewable energy sources.
renewable energy systems. The aim of increasing energy efficiency and
energy efficiency and energy saving is underlined by the fact that, according to statistics, the domestic
energy intensity per unit of GDP is more than three times higher in terms of currency parity,
three times higher than in developed EU Member States in purchasing power parity terms. Present
This call for proposals contributes to improving the energy efficiency of buildings and the use of renewable energy
investments to improve energy efficiency in buildings and to increase the use of renewable energy sources.",0,Hungarian Government,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
IT Valorizzazione dell architet,Go To IT Valorizzazione dell architet,Valorizzazione dell'architettura e del paesaggio rurale,https://www.cdp.it/sitointernet/it/architetture_e_paesaggi_rurali.page,Italy,0,All regions,0,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,"80-100% co-financing rate, 100% if declared as cultural interest",NOT SPECIFIED,0,NOT SPECIFIED,NO,0,MEDIUM,national language,,"The funding programme aims to preserve and restore historic and rurla landscapes, through the protection of cultural assets and the promotion of rural activities and initiatives linked to sustainable tourism and culture.",0,"Cassa Depositi e Prestiti, managed by regional portals",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.cdp.it/sitointernet/it/architetture_e_paesaggi_rurali.page,"phone: +39 800 020 030
email: bando.architettura@cdp.it",https://www.cdp.it/resources/cms/documents/CDP_Architettura_Paesaggi_Rurali_FAQ_20-04-2022.pdf,FAQs,https://www.cdp.it/resources/cms/documents/CDP_Fondo_PNRR_Architettura_Paesaggi_Rurali_Guida_Portale.pdf,guidelines,0,0
IT Prestito Progettualita,Go To IT Prestito Progettualita,Prestito Progettualita',https://www.cdp.it/sitointernet/page/it/un_nuovo_strumento_cdp_per_agevolare_la_progettazione_degli_investimenti_in_ambito_pnrr_e_fnc?contentId=PRG38790,Italy,0,All regions,0,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,100% co-financing rate,NOT SPECIFIED,0,NOT SPECIFIED,NO,0,LOW,Italian,,The Fund aims to support local authorities in planning investments connceted to the Italian Recovery and Resilience Plan,0,Cassa Depositi e Prestiti,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://cdpb2c01.b2clogin.com/cdpb2c01.onmicrosoft.com/b2c_1a_signincustom/oauth2/v2.0/authorize?response_type=code&response_mode=form_post&redirect_uri=https%3A%2F%2Fwww.cdp.it%2Fsitointernet%2Fb2c%2Fcallback&client_id=e8a8c07e-f61c-4f01-9a37-c57c941093a1&scope=openid+offline_access+profile+e8a8c07e-f61c-4f01-9a37-c57c941093a1&prompt=select_account&state=878d282a-eab2-4c2d-b76a-e9154e263b3f&nonce=eb2e2c03-6bbe-497e-a174-d5814321a675,https://www.cdp.it/sitointernet/it/modulo_contatti.page?prd=PRD38724,0,0,https://www.cdp.it/sitointernet/it/modulo_contatti.page?prd=PRD38724,website of Cassa Depositi and Prestiti,0,0
IT_PNRR,Go To IT_PNRR,PNRR - Investments to fight climate change and hydrogeological disruption,https://www.italiadomani.gov.it,Italy,0,All,0,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,YES,NO,YES,YES,YES,YES,YES,Not specified,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,"A profound change to achieve the country's green, ecological and inclusive transition by promoting the circular economy, the development of renewable energy sources and more sustainable agriculture.",0,0,,1,Hydrogeological and flood risk reduction,0,https://www.italiadomani.gov.it/content/sogei-ng/it/it/Interventi/investimenti/Misure-per-la-gestione-del-rischio-di-alluvione-e-per-la-riduzione-del-rischio-idrogeologico.html,0,0,0,0,0,0,0,0,0,0,0,,https://www.italiadomani.gov.it/content/sogei-ng/it/it/il-piano/missioni-pnrr/rivoluzione-verde-transizione-ecologica.html,0,0,0,0,0,0,0
IT_Rischio Idrogeologico,Go To IT_Rischio Idrogeologico,Finanziamento degli interventi di mitigazione del rischio idrogeologico,"https://www.mase.gov.it/pagina/procedura-la-presentazione-delle-richieste-di-finanziamento-degli-interventi-di-mitigazione
http://www.rendis.isprambiente.it/rendisweb/",Italy,0,All,0,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,Not Specified,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,Ministry of Environment and Energy Security supports funding requests for local hydrogeological hazard mitigation interventions,0,Ministry of Environment and Energy Security (MASE),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.gazzettaufficiale.it/eli/id/2021/11/15/21A06670/sg ,"urp@mase.gov.it
(+39) 0657221",0,0,0,0,0,0
IT_Prestito Green,Go To IT_Prestito Green,Prestito Green,https://www.cdp.it/sitointernet/it/prestito_green.page,Italy,0,All,0,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES,Up to 100%,0,0,NOT SPECIFIED,NOT SPECIFIED,0,0,0,,Loaning of funding to incentivize the implementation of sustainable investments for non-territorial public entities.,0,Cassa Depositi e Prestiti,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"https://www.cdp.it/resources/cms/documents/EP211_CICLO_DEI_RIFIUTI_ORGANICI_E_MATERIALI_RICICLABILI.pdf
https://www.cdp.it/resources/cms/documents/EP210_TRASPORTO_PUBBLICO_URBANO_ED_EXTRAURBANO.pdf
https://www.cdp.it/resources/cms/documents/EP209_EFFICIENZA_ENERGETICA_DEGLI_EDIFICI.pdf
https://www.cdp.it/resources/cms/documents/EP212_ECONOMIA_VERDE_RISORSE_IDRICHE.pdf",https://www.cdp.it/sitointernet/it/modulo_contatti.page?prd=PRD41845,0,0,0,0,0,0
IT_Fondazione Cariplo,Go To IT_Fondazione Cariplo,F2C - Fondazione Cariplo per il Clima,https://www.fondazionecariplo.it/it/progetti/ambiente/f2c-fondazione-cariplo-per-il-clima.html,Italy,0,"Lombardia, Piemonte","Lombardia (all), Piemonte (Novara, Verbano-Cusio-Ossola)",YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,0.6,0,0,NOT SPECIFIED,YES,The lead partner must be a Municipality partnership. The Consortium has to include at least one entity that manage natural areas and one or more non-profit private entities with experience in stakeholder engagement initiatives,0,0,,"F2C supports large territorial areas in defining a Climate Transition Strategy (CTS) and implementing some of the actions in it, including interventions to decrease climate-changing emissions, mitigate the impacts of extreme weather events, and an increase in natural capital.",0,Fondazione Cariplo,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.fondazionecariplo.it/static/upload/cal/call-for-ideas-f2c-strategia-clima_finale.pdf,0,0,0,0,0,0,0
